Product Name;Category;Brand Name;Amazon URL;Official Site URL;AliExpress URL;Description;Image Path
MagSafe Minimalist Wallet;Phone Accessories;Nomad;https://www.amazon.com/dp/B0C5R7V9Z2;https://nomadgoods.com/products/modern-leather-wallet-for-magsafe;https://www.aliexpress.com/item/1005005489321775.html;Billetera delgada de cuero con imanes MagSafe para iPhone, diseñada para llevar solo lo esencial sin volumen.;/images/products/nomad-magsafe-wallet.jpg
Aluminum Laptop Stand;Desk Accessories;Twelve South;https://www.amazon.com/dp/B08T9T9V2F;https://www.twelvesouth.com/products/hoverbar-2s;https://www.aliexpress.com/item/1005004890123456.html;Soporte ajustable de aluminio para portátil que eleva la pantalla a la altura de los ojos, mejorando la postura y el flujo de aire.;/images/products/twelvesouth-laptop-stand.jpg
Minimalist Desk Lamp;Home Office;Satechi;https://www.amazon.com/dp/B09H7R8M3N;https://satechi.net/products/led-desk-lamp;https://www.aliexpress.com/item/1005006023456789.html;Lámpara LED con diseño escandinavo y base de metal, iluminación regulable y puerto de carga USB integrado.;/images/products/satechi-desk-lamp.jpg
Keychron K3 Ultra-Slim;Keyboards;Keychron;https://www.amazon.com/dp/B095WJ4F4V;https://www.keychron.com/products/keychron-k3-ultra-slim-wireless-mechanical-keyboard;https://www.aliexpress.com/item/1005003526789012.html;Teclado mecánico inalámbrico ultra delgado con switches de perfil bajo, conectividad Bluetooth y RGB personalizable.;/images/products/keychron-k3.jpg
Orbitkey Key Organizer;Everyday Carry;Orbitkey;https://www.amazon.com/dp/B075VJG4Y5;https://www.orbitkey.com/products/orbitkey-key-organizer-2-0;https://www.aliexpress.com/item/1005004034567890.html;Organizador de llaves de cuero que elimina el ruido y el desorden, manteniendo tus llaves ordenadas y accesibles.;/images/products/orbitkey-organizer.jpg
CalDigit TS4 Dock;Docks & Hubs;CalDigit;https://www.amazon.com/dp/B0B8V3YJ6T;https://www.caldigit.com/ts4/;https://www.aliexpress.com/item/1005005045678901.html;La estación de conexión más completa para Mac y PC, con 18 puertos y carga de hasta 98W para tu laptop.;/images/products/caldigit-ts4.jpg
Nomad Stand One;Phone Chargers;Nomad;https://www.amazon.com/dp/B09SY6VH2L;https://nomadgoods.com/products/stand-one-magsafe;https://www.aliexpress.com/item/1005004387654321.html;Cargador inalámbrico MagSafe de una sola pieza de aluminio pulido con acabado metálico premium.;/images/products/nomad-stand-one.jpg
Grovemade Walnut Desk Mat;Desk Accessories;Grovemade;https://www.amazon.com/dp/B07P5L5V9J;https://grovemade.com/product/walnut-desk-mat/;No Disponible;Base de escritorio de madera de nogal con superficie de cuero, protege tu mesa y aporta calidez a tu setup.;/images/products/grovemade-desk-mat.jpg
Native Union Dock Sport;Phone Stands;Native Union;https://www.amazon.com/dp/B08M3FQJ4V;https://www.nativeunion.com/products/dock-sport-for-iphone;https://www.aliexpress.com/item/1005003334567890.html;Soporte con cable tejido y base de metal, diseñado para cargar el iPhone en posición vertical u horizontal.;/images/products/native-union-dock.jpg
Ridge Wallet;Wallets;Ridge;https://www.amazon.com/dp/B07K1V5Y2X;https://ridge.com/products/ridge-wallet;https://www.aliexpress.com/item/1005002765432109.html;Cartera de aluminio con sistema de banda elástica, capacidad para hasta 12 tarjetas y protección RFID.;/images/products/ridge-wallet.jpg
